Wall time,Step,Value
1609456257.102335,20,37.59400177001953
1609456475.5581346,40,56.08470153808594
1609456700.7619758,60,67.03299713134766
1609456925.180784,80,75.93579864501953
1609457148.027314,100,66.66670227050781
1609457371.5203593,120,75.60980224609375
1609457595.3617992,140,78.57140350341797
1609457818.9486375,160,72.8323974609375
1609458043.011325,180,81.14289855957031
1609458266.8183382,200,83.13249969482422
1609458490.8573253,220,74.19349670410156
1609458717.2356117,240,85.0
1609458942.1849616,260,85.71430206298828
1609459166.8651714,280,78.85710144042969
1609459389.3640382,300,82.02249908447266
1609459587.8313184,320,80.87429809570312
1609459809.922525,340,90.6404037475586
1609460035.09576,360,92.2155990600586
1609460260.0922208,380,82.75859832763672
1609460484.6927679,400,80.98159790039062
1609460708.9952903,420,86.82929992675781
1609460932.5762436,440,88.05030059814453
1609461156.7874653,460,87.15080261230469
1609461379.5255258,480,84.29750061035156
1609461599.3258417,500,85.87570190429688
1609461797.1509974,520,87.95809936523438
1609462028.6372783,540,84.39309692382812
1609462252.9730794,560,79.76190185546875
1609462472.403044,580,91.35800170898438
1609462697.867352,600,87.75509643554688
1609462924.0753,620,85.05750274658203
1609463147.7054367,640,87.5
1609463345.614018,660,89.53489685058594
1609463542.9094746,680,87.04660034179688
1609463762.493406,700,87.77780151367188
1609463982.0236123,720,88.88890075683594
1609464180.4073517,740,91.80329895019531
1609464405.2049942,760,88.88890075683594
1609464603.5736349,780,85.86389923095703
1609464804.3331237,800,81.02559661865234
1609465004.3282864,820,85.1852035522461
1609465242.4179342,840,89.65519714355469
1609465466.4473846,860,87.01300048828125
1609465667.6543355,880,93.47830200195312
1609465867.7975707,900,89.58329772949219
1609466068.6384084,920,78.57140350341797
1609466269.3246555,940,93.41320037841797
1609466468.8662417,960,95.29409790039062
1609466710.2950058,980,89.09089660644531
1609466934.9863153,1000,92.85710144042969
1609467157.1889434,1020,93.95970153808594
1609467358.4431567,1040,90.82129669189453
1609467558.092775,1060,89.01100158691406
1609467758.6576343,1080,92.12120056152344
1609467981.706104,1100,94.26750183105469
1609468207.888906,1120,92.9729995727539
1609468408.1905615,1140,96.9697036743164
1609468608.045581,1160,88.78050231933594
1609468807.728214,1180,89.88760375976562
1609469007.105846,1200,86.84210205078125
1609469232.8540556,1220,84.61540222167969
1609469432.2295578,1240,87.20929718017578
1609469659.3683565,1260,89.36170196533203
1609469888.9683266,1280,92.61740112304688
1609470116.3270953,1300,87.83070373535156
1609470345.1545088,1320,94.79170227050781
1609470552.0174277,1340,92.30770111083984
1609470755.1119657,1360,92.0
1609470957.9313893,1380,90.14080047607422
1609471161.5017529,1400,93.7853012084961
1609471364.4892175,1420,92.9292984008789
1609471568.3379948,1440,83.56159973144531
1609471771.7504282,1460,94.83570098876953
1609471999.3373494,1480,87.23400115966797
1609472235.385928,1500,91.80329895019531
1609472442.9385235,1520,89.77269744873047
1609472671.7750037,1540,84.13790130615234
1609472876.8666766,1560,97.2677993774414
1609473080.783122,1580,90.0
1609473285.1951745,1600,99.30069732666016
1609473520.189638,1620,92.9292984008789
1609473726.6332898,1640,93.75
1609473931.05549,1660,93.8595962524414
1609474159.777662,1680,91.50330352783203
1609474365.4125226,1700,91.39779663085938
1609474569.649107,1720,92.5
1609474774.463438,1740,90.45230102539062
1609474979.850178,1760,92.94120025634766
1609475185.1389248,1780,93.18180084228516
1609475389.8756647,1800,93.98909759521484
1609475620.651642,1820,91.42859649658203
1609475824.607591,1840,91.66670227050781
