Wall time,Step,Value
1609456257.102335,20,38.14655685424805
1609456475.5581346,40,18.398954391479492
1609456700.7619758,60,15.694151878356934
1609456925.180784,80,12.5908784866333
1609457148.027314,100,11.603771209716797
1609457371.5203593,120,10.370628356933594
1609457595.3617992,140,9.96931266784668
1609457818.9486375,160,8.87382698059082
1609458043.011325,180,7.478673934936523
1609458266.8183382,200,7.501221656799316
1609458490.8573253,220,6.939993381500244
1609458717.2356117,240,6.673264026641846
1609458942.1849616,260,5.697964668273926
1609459166.8651714,280,6.481090545654297
1609459389.3640382,300,5.855779647827148
1609459587.8313184,320,5.5501508712768555
1609459809.922525,340,5.851949691772461
1609460035.09576,360,6.018669605255127
1609460260.0922208,380,6.149154186248779
1609460484.6927679,400,4.936459064483643
1609460708.9952903,420,5.231727123260498
1609460932.5762436,440,5.082422733306885
1609461156.7874653,460,4.778688430786133
1609461379.5255258,480,4.8700385093688965
1609461599.3258417,500,4.652988433837891
1609461797.1509974,520,4.397795677185059
1609462028.6372783,540,4.586178302764893
1609462252.9730794,560,4.308883190155029
1609462472.403044,580,4.191356182098389
1609462697.867352,600,4.067643165588379
1609462924.0753,620,3.78113055229187
1609463147.7054367,640,4.022697448730469
1609463345.614018,660,3.971412181854248
1609463542.9094746,680,3.9732580184936523
1609463762.493406,700,3.9568862915039062
1609463982.0236123,720,3.923079013824463
1609464180.4073517,740,3.9529991149902344
1609464405.2049942,760,3.3575446605682373
1609464603.5736349,780,3.841343641281128
1609464804.3331237,800,4.197938442230225
1609465004.3282864,820,3.9870245456695557
1609465242.4179342,840,3.3767850399017334
1609465466.4473846,860,3.3971757888793945
1609465667.6543355,880,3.633671760559082
1609465867.7975707,900,3.840831756591797
1609466068.6384084,920,3.4167025089263916
1609466269.3246555,940,3.6155996322631836
1609466468.8662417,960,3.2816407680511475
1609466710.2950058,980,3.5649056434631348
1609466934.9863153,1000,3.6586666107177734
1609467157.1889434,1020,3.7633399963378906
1609467358.4431567,1040,3.938016653060913
1609467558.092775,1060,3.4055163860321045
1609467758.6576343,1080,3.6269419193267822
1609467981.706104,1100,2.934532880783081
1609468207.888906,1120,3.465003490447998
1609468408.1905615,1140,3.215874433517456
1609468608.045581,1160,3.277090072631836
1609468807.728214,1180,3.1972193717956543
1609469007.105846,1200,2.8980908393859863
1609469232.8540556,1220,2.9443435668945312
1609469432.2295578,1240,3.147256851196289
1609469659.3683565,1260,3.412156343460083
1609469888.9683266,1280,2.8833625316619873
1609470116.3270953,1300,3.0148227214813232
1609470345.1545088,1320,3.1351051330566406
1609470552.0174277,1340,3.5325334072113037
1609470755.1119657,1360,3.2493388652801514
1609470957.9313893,1380,3.064906358718872
1609471161.5017529,1400,2.8705687522888184
1609471364.4892175,1420,2.8874292373657227
1609471568.3379948,1440,2.747921943664551
1609471771.7504282,1460,3.0305042266845703
1609471999.3373494,1480,2.6352875232696533
1609472235.385928,1500,2.3591086864471436
1609472442.9385235,1520,3.022329807281494
1609472671.7750037,1540,2.583189010620117
1609472876.8666766,1560,2.7158143520355225
1609473080.783122,1580,2.701871395111084
1609473285.1951745,1600,2.7751755714416504
1609473520.189638,1620,2.543977737426758
1609473726.6332898,1640,2.511465072631836
1609473931.05549,1660,2.5793867111206055
1609474159.777662,1680,2.802030086517334
1609474365.4125226,1700,2.7742741107940674
1609474569.649107,1720,2.5165369510650635
1609474774.463438,1740,2.7390449047088623
1609474979.850178,1760,2.8437628746032715
1609475185.1389248,1780,2.4703750610351562
1609475389.8756647,1800,3.1456408500671387
1609475620.651642,1820,2.6403284072875977
1609475824.607591,1840,2.6929261684417725
